keys,es,ru,pt,de,jp,fr,pl
You like my heads!,¡Te gustan mis cabezas!,Тебе нравятся мои головы!,Você gosta das minhas cabeças!,Du magst meine Köpfe!,私の頭が好きなんですね！,Vous aimez mes têtes !,Podobają ci się moje głowy!
That one is a head!,¡Esa es una cabeza!,Это голова!,Aquela é uma cabeça!,Das ist ein Kopf!,あれは頭だ！,"Ça, c'est une tête !",A to jest głowa!
So uhhh... how day?,Entonces uhhh... ¿cómo está el día?,"Итак, эээ... как сегодня?",Então... como está o dia?,Also äh... wie ist dein Tag?,えっと…今日はどうですか？,Alors euh... comment ça va aujourd'hui ?,No więc... jak tam dzień?
You ,Tú ,Ты ,Você ,Du ,あなた ,Toi ,Ty 
 bits by the way,"por cierto, algunos","мелочи, кстати",pedaços a propósito,"Übrigens, Kleinigkeiten.",ちなみに、,des bribes au passage,"tak przy okazji, trochę"
You is having bits of,Estás teniendo partes de,У вас наблюдаются отдельные эпизоды,Você está tendo pedaços de,Du hast ein paar davon,あなたは,Vous avez des bribes de,Masz kawałki
You like the my stand? Ted made with tape and myself!,¿Te gusta mi puesto? ¡Lo hizo Ted con cinta adhesiva y yo!,Тебе нравится моя подставка? Тед сделал её из скотча и с помощью себя!,Gostaram do meu suporte? O Ted fez com fita adesiva e eu mesma!,Gefällt dir mein Ständer? Den habe ich selbst aus Klebeband gebaut!,私のスタンド、気に入ってくれた？テッドがテープと私で作ったんだよ！,Tu aimes mon support ? Ted l'a fabriqué avec du ruban adhésif et moi !,Podoba ci się moje stoisko? Ted zrobił je ze mnie i taśmy!
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Bowling Ball,Bola de bolos,Шар для боулинга,Bola de boliche,Bowlingkugel,ボウリングボール,Boule de bowling,Kula do kręgli
Bowl a turkey,Un pavo en un tazón,Сыграйте в боулинг с индейкой,Coloque um peru em uma tigela,Eine Schüssel Truthahn,ターキーをボウリングする,Bol de dinde,Miska z indykiem
Racecar,coche de carreras,Гоночный автомобиль,Carro de corrida,Rennwagen,レーシングカー,voiture de course,Samochód wyścigowy
Go 90 mph in a school zone,Conducir a 90 mph en una zona escolar,В школьной зоне нельзя превышать скорость (90 миль в час).,Dirija a 145 km/h em zona escolar.,Fahren Sie in einer Schulzone 90 Meilen pro Stunde.,スクールゾーンで時速90マイルで走行する,Roulez à 145 km/h dans une zone scolaire,Jedź 90 mil na godzinę w strefie szkolnej
Moyai,Moyai,Мояи,Moyai,Moyai,もやい,Moyai,Moyai
You're gonna use all the f***n' hot water,"Vas a usar toda el agua caliente, maldita sea.",Ты израсходуешь всю эту чертову горячую воду!,"Você vai usar toda a água quente, porra!",Du wirst das ganze verdammte heiße Wasser verbrauchen,お前はクソみたいな熱湯を全部使い果たすつもりか,Tu vas utiliser toute cette putain d'eau chaude,Zużyjesz całą cholernie gorącą wodę
Glasses,Anteojos,Очки,Copos,Gläser,眼鏡,Lunettes,Okulary
"erm, actually","eh, en realidad","эмм, вообще-то","hum, na verdade","ähm, eigentlich",えーと、実は,"euh, en fait","eee, właściwie"
Extension Cord,Cable de extensión,Удлинительный шнур,Cabo de extensão,Verlängerungskabel,延長コード,Rallonge électrique,Przedłużacz
it works trust,"Funciona, confía.","Это работает, поверьте.","Funciona, confie","Es funktioniert, vertraue darauf.",効果があります、信頼してください,"ça marche, confiance",to działa zaufanie
Bigger Boy,Niño más grande,Биггер Бой,Menino maior,Großer Junge,ビッグボーイ,Grand garçon,Większy chłopiec
You're not to touch me,No me toques,Ты не смеешь меня трогать,Você não deve me tocar.,Du darfst mich nicht berühren.,私に触れてはいけない,Tu n'as pas le droit de me toucher,Nie wolno ci mnie dotykać
Eye,Ojo,Глаз,Olho,Auge,目,Œil,Oko
"Google, show me this guy's walls please","Google, muéstrame las paredes de este tipo, por favor.","Google, покажи мне, пожалуйста, стены этого парня.","Google, mostre-me as paredes desse cara, por favor.","Google, zeig mir bitte die Wände dieses Typen.",Googleさん、この人の壁を見せてください,"Google, montre-moi les murs de ce type, s'il te plaît.","Google, pokaż mi proszę ściany tego gościa"
Social Credit,Crédito social,Социальный кредит,Crédito social,Sozialkredit,社会信用,Crédit social,Kredyt społeczny
"-1,000,000 social credit report to Xi Jinping immediately.","-1.000.000 puntos de crédito social, preséntese ante Xi Jinping inmediatamente.",-1 000 000 долларов социального кредитного отчета Си Цзиньпину немедленно.,-1.000.000 de relatório de crédito social para Xi Jinping imediatamente.,-1.000.000 Sozialkreditbericht an Xi Jinping unverzüglich.,習近平に直ちに100万件の社会信用報告書を提出する。,-1 000 000 de crédit social à Xi Jinping immédiatement.,-1 000 000 punktów społecznych natychmiast dla Xi Jinpinga.
Skull,Cráneo,Череп,Crânio,Schädel,頭蓋骨,Crâne,Czaszka
fr? 💀,fr? 💀,fr? 💀,fr? 💀,fr? 💀,fr? 💀,fr? 💀,fr? 💀
Fat Man,Hombre gordo,Толстяк,Homem Gordo,Dicker Mann,太った男,Gros homme,Gruby człowiek
My main goal is to blow up,Mi principal objetivo es explotar,Моя главная цель — взорваться.,Meu principal objetivo é explodir,"Mein Hauptziel ist es, in die Luft zu jagen",私の主な目標は爆発することです,Mon objectif principal est de faire exploser,Moim głównym celem jest wysadzić
Lightbulb,bombilla,Лампочка,Lâmpada elétrica,Glühbirne,電球,Ampoule,Żarówka
What's the big idea?,¿Cuál es la gran idea?,В чём главная идея?,Qual é a grande ideia?,Was ist die große Idee?,一体何がそんなに重要なのか？,Quelle est l'idée principale ?,Jaki jest główny pomysł?
Menger,Menger,Менгер,Menger,Menger,メンガー,Menger,Menger
holes,agujeros,отверстия,buracos,Löcher,穴,trous,dziury
Stikbug,Bicho palo,Стикбаг,Stikbug,Stikbug,スティックバグ,Stikbug,Stikbug
Remember this meme? No?,¿Recuerdas este meme? ¿No?,Помните этот мем? Нет?,Lembra desse meme? Não?,Kennt ihr dieses Meme noch? Nein?,このミーム覚えてる？覚えてない？,Vous vous souvenez de ce mème ? Non ?,Pamiętasz tego mema? Nie?
Meme Man,Hombre meme,Человек-мем,Homem Meme,Meme-Mann,ミームマン,Meme Man,Człowiek-mem
invests in stonks,invierte en acciones,инвестирует в акции,investe em ações,investiert in Aktien,株式に投資する,investit dans des actions,inwestuje w kamienie
Maxwell,Maxwell,Максвелл,Maxwell,Maxwell,マックスウェル,Maxwell,Maxwell
The dingus,El idiota,Дингус,O dingus,Der Trottel,ディンガス,Le dingus,Dingus
Dummi,Tonto,Думми,Dummi,Dummi,ダミー,Dummi,Dummi
A handsome fella,Un tipo guapo,Красивый парень,Um rapaz bonito,Ein gutaussehender Kerl,ハンサムな男,Un beau garçon,Przystojny facet
Distressed Red Ball,Bola roja desgastada,Потрёпанный красный мяч,Bola vermelha desgastada,abgenutzter roter Ball,ダメージ加工の赤いボール,Boule rouge délabrée,Zniszczona czerwona piłka
"If the earth is round, how come the ball aint goin nowhere?","Si la Tierra es redonda, ¿cómo es que la pelota no va a ninguna parte?","Если Земля круглая, почему же мяч никуда не двигается?","Se a Terra é redonda, por que a bola não vai a lugar nenhum?","Wenn die Erde rund ist, warum bewegt sich der Ball dann nicht von der Stelle?",地球が丸いなら、なぜボールはどこにも行かないのか？,"Si la Terre est ronde, comment se fait-il que la balle ne bouge pas ?","Jeśli Ziemia jest okrągła, to dlaczego piłka nigdzie nie leci?"
Mr Heeh,Señor Heeh,Мистер Хи,Senhor Heeh,Herr Heeh,ヒー氏,Monsieur Heeh,Pan Heeh
"Some guy, probobly related to Ted","Un tipo cualquiera, probablemente emparentado con Ted.","Какой-то парень, вероятно, родственник Теда.","Um cara qualquer, provavelmente parente do Ted.","Irgendein Typ, wahrscheinlich verwandt mit Ted.",テッドの親戚と思われる男,"Un type, probablement apparenté à Ted","Jakiś facet, prawdopodobnie spokrewniony z Tedem"
Kurger Bing Crown,Corona de Bing Kurger,Кургер Бинг Краун,Kurger Bing Crown,Kurger Bing Crown,カーガー・ビング・クラウン,Kurger Bing Crown,Korona Kurgera Binga
Just makes you wanna get on an airplane,Dan ganas de subirse a un avión.,Просто так хочется сесть в самолет.,Dá uma vontade enorme de pegar um avião.,"Da bekommt man doch gleich Lust, in ein Flugzeug zu steigen.",飛行機に乗りたくなる,Ça donne juste envie de prendre l'avion,Aż chce się wsiąść do samolotu
Pumpkin,Calabaza,Тыква,Abóbora,Kürbis,パンプキン,Citrouille,Dynia
Holloween special!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Especial de holloween!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Хэллоуинский спецвыпуск!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Especial de Halloween!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Halloween-Special!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,ハロウィーン特別企画!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Spécial Halloween !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Specjalny odcinek na Halloween!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Santa Ball,Baile de Papá Noel,Бал Санты,Bola de Papai Noel,Weihnachtsmannball,サンタボール,Bal du Père Noël,Piłka Świętego Mikołaja
Actual ornament I have,Adorno real que tengo,"Настоящее украшение, которое у меня есть",O enfeite que eu tenho é de verdade.,"Tatsächliches Schmuckstück, das ich habe",私が実際に持っている装飾品,Voici l'ornement que je possède.,Posiadam prawdziwą ozdobę
Elevator,Ascensor,Лифт,Elevador,Aufzug,エレベーター,Ascenseur,Winda
Beat The Elevator on Hard,Supera el ascensor en dificultad difícil.,"Пройдите игру ""Лифт"" на сложном уровне.",Derrote o elevador no modo Difícil,Besiege den Aufzug auf Schwer,エレベーターをハードモードでクリアしよう,Battre l'ascenseur en mode difficile,Ukończ windę na poziomie trudnym
Cat Soldier,Soldado Gato,Кот-солдат,Soldado Gato,Katzensoldat,猫兵隊,Soldat Chat,Żołnierz Kot
Beat The Cat Batallion on Hard,Derrota al Batallón de Gatos en dificultad difícil.,Победите Кошачий батальон на сложном уровне.,Derrote o Batalhão dos Gatos no modo Difícil,Besiege das Katzenbataillon auf Schwer,難易度ハードでキャットバタリオンを倒せ,Battre le Bataillon des Chats en mode Difficile,Pokonaj Batalion Kotów na poziomie trudnym
Pimpledump's Hat,El sombrero de Pimpledump,Шляпа Пимплдампа,O chapéu do Pimpledump,Pimpledumps Hut,ピンプルダンプの帽子,Le chapeau de Pimpledump,Kapelusz Pimpledumpa
Beat Pimpledump Kinkledorf Dingledale on Hard,Derrota a Pimpledump Kinkledorf Dingledale en dificultad difícil.,Победите Пимпледампа Кинкельдорфа Динглдейла на сложном уровне.,Derrote Pimpledump Kinkledorf Dingledale no modo Difícil,Besiege Pimpledump Kinkledorf Dingledale auf Schwer,ピンプルダンプ・キンクルドルフ・ディングルデールをハードで倒せ,Battre Pimpledump Kinkledorf Dingledale en mode Difficile,Pokonaj Pimpledump Kinkledorf Dingledale na poziomie trudnym
Artillertunk's Head,La cabeza de Artillertunk,Голова Артиллертунка,Cabeça de Artillertunk,Artillertunks Kopf,砲兵隊の頭,Tête d'Artillertunk,Głowa Artillertunka
Beat Artillertunk on Hard,Derrota a Artillertunk en dificultad difícil.,Пройдите игру Artillertunk на сложном уровне.,Derrote Artillertunk no modo Difícil,Beat Artillertunk auf Hard,ハードモードでアーティラータンクを倒せ,Battre Artillertunk en mode difficile,Pokonaj Artillertunka na poziomie trudnym
Soda Sola Can,Lata de refresco Sola,Банка Soda Sola,Lata de refrigerante Sola,Soda Sola Dose,ソーダソーラ缶,Canette de soda Sola,Puszka po napoju gazowanym Sola
Beat Soda Sola on Hard,Vence a Soda Sola en difícil,Победите Сода Сола на сложном уровне.,Derrote Soda Sola no modo Difícil,Besiege Soda Sola auf Schwer,ソーダ・ソーラをハードモードで倒せ,Battre Soda Sola en mode difficile,Pokonaj Sodę Solę na Hard
Bioplasm Chunk,Fragmento de bioplasma,Кусок биоплазмы,Fragmento de bioplasma,Bioplasma-Stück,バイオプラズマの塊,Morceau de bioplasme,Kawałek bioplazmy
Beat The Epidermal Bioplasm on Hard,Vence al bioplasma epidérmico en duro,Победите эпидермальную биоплазму на сложном уровне.,Derrote o bioplasma epidérmico no modo difícil,Besiege das epidermale Bioplasma auf Hart,ハードモードで表皮バイオプラズムを倒せ,Combattre le bioplasme épidermique à fond,Pokonaj bioplazmę naskórka na poziomie trudnym
Rusty Chiln's Head,Cabeza de Rusty Chiln,Голова Расти Чилна,Cabeça de Rusty Chiln,Rusty Chilns Kopf,ラスティ・チルンの頭,Tête de Rusty Chiln,Głowa Rusty'ego Chilna
Beat Rusty Chiln on Hard,Derrota a Rusty Chiln en dificultad difícil.,Пройдите игру Rusty Chil на сложном уровне.,Derrote Rusty Chiln no modo Difícil,Besiege Rusty Chiln auf Schwer,ハードモードでラスティ・チルンを倒せ,Battre Rusty Chiln à fond,Pokonaj Rusty'ego Chilna na poziomie trudnym
Basketball,Baloncesto,Баскетбол,Basquetebol,Basketball,バスケットボール,Basket-ball,Koszykówka
"Its a secret, shh","Es un secreto, shh","Это секрет, тссс","É segredo, shhh","Es ist ein Geheimnis, psst!",秘密だよ、シーッ,"C'est un secret, chut","To tajemnica, ciii"
Discord,Discordia,Discord,Discórdia,Zwietracht,不和,Discorde,Niezgoda
"Find the code on the discord server, aw dont cwy you can handwle it","Encuentra el código en el servidor de Discord, no te preocupes, puedes manejarlo.","Код можно найти на сервере Discord, не волнуйтесь, вы справитесь.","Encontre o código no servidor do Discord, ah, não se preocupe, você consegue lidar com isso.","Den Code findest du auf dem Discord-Server. Keine Sorge, du schaffst das schon.",Discordサーバーでコードを見つけてください。泣かないで、あなたは対処できます。,"Trouve le code sur le serveur Discord, aw dont c'est sûr, tu peux le gérer.","Znajdź kod na serwerze Discord, nie czaję, możesz sobie z nim poradzić"
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
naw baby that aint for sale,"No, cariño, eso no está a la venta.","Нет, детка, это не продаётся.","Não, querida, isso não está à venda.","Nein, Baby, das ist nicht zu verkaufen.",いや、それは売り物じゃないよ,"Non bébé, ça n'est pas à vendre","nie, skarbie, to nie jest na sprzedaż"
you gotta work for this one,Tienes que trabajar para conseguir este.,За это нужно потрудиться.,Você precisa se esforçar para conseguir isso.,Dafür muss man sich etwas anstrengen.,これは努力しないと手に入らない,Il va falloir mériter celui-ci,musisz na to zapracować
"aint for sale, you gotta earn it","No está a la venta, tienes que ganártelo.","Оно не продаётся, его нужно заслужить.","Não está à venda, você tem que conquistar.","Das ist nicht käuflich, das muss man sich verdienen.",売り物じゃない、自分で勝ち取らなきゃいけないんだ,"Ça ne s'achète pas, il faut le gagner","nie jest na sprzedaż, musisz na to zasłużyć"
you got the skills? you need em for this!,¿Tienes las habilidades? ¡Las necesitas para esto!,У тебя есть необходимые навыки? Они тебе понадобятся!,Você tem as habilidades? Você vai precisar delas para isso!,Hast du das Zeug dazu? Du brauchst es dafür!,君にはそのスキルがある？この仕事にはそのスキルが必要なんだ！,Tu as les compétences ? Tu en auras besoin pour ça !,Masz umiejętności? Są ci potrzebne do tego!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
you is poor as hell!,¡Eres pobre como el infierno!,Ты ужасно беден!,Você é pobre pra caramba!,Du bist bettelarm!,お前はめちゃくちゃ貧乏だ！,Tu es pauvre comme Job !,jesteś biedny jak cholera!
you aint got the funds!,¡No tienes fondos!,У тебя нет средств!,Você não tem dinheiro!,Du hast nicht das nötige Geld!,君には資金がない！,Vous n'avez pas les fonds !,nie masz funduszy!
"naw baby, no bits no fits","No, cariño, sin piezas no encaja","Нет, детка, никаких припадков, никаких истерик","Não, querida, sem frescuras, sem chiliques.","Nein, Baby, ohne Teile keine Passformen",いや、ベイビー、何もなければ何も起こらない,"Non bébé, pas de morceaux, pas de coupes","nie, kochanie, nie ma kawałków, nie ma napadów"
you is broke as a joke!,¡Estás en la ruina como una broma!,Ты совершенно нищий!,Você está falido pra caramba!,Du bist ja pleite wie ein Witz!,お前は冗談みたいに金欠だ！,Tu es fauché comme les blés !,jesteś spłukany jak cholera!
"no mo money on ya, get a job!","¡No tienes más dinero, busca trabajo!","Больше никаких денег с тебя, найди работу!","Sem dinheiro nenhum, arrume um emprego!","Kein Geld mehr, such dir einen Job!",もうお金はないぞ、仕事を探せ！,"T'as plus un sou, trouve-toi un boulot !","nie ma już dla ciebie pieniędzy, znajdź sobie pracę!"
come back when u got the guap!,¡Vuelve cuando tengas dinero!,"Приходи, когда наберёшь деньги!",Volte quando tiver a grana!,"Komm wieder, wenn du das Geld hast!",お金が貯まったら戻ってきて！,Reviens quand tu auras le fric !,"wróć, jak dostaniesz guap!"
"you broke, and no there aint ""another way you can pay me""","Te quedaste sin dinero y no, no hay ""otra forma de pagarme"".","У тебя совсем нет денег, и нет, ""другого способа мне заплатить"" не существует.","Você está falido, e não, não há ""outra forma de você me pagar"".","Du bist pleite, und nein, es gibt keine andere Möglichkeit, wie du mich bezahlen kannst.",君は金欠なんだから、「他に支払い方法なんてないよ」,"Tu es fauché, et non, il n'y a pas d'autre moyen de me payer.","jesteś spłukany i nie ma innego sposobu, w jaki możesz mi zapłacić"
you want that gud sh*t? get cho money up!,¿Quieres esa buena mierda? ¡Consigue tu dinero!,Хочешь оторваться по полной? Зарабатывай деньги!,Quer coisas boas? Junte seu dinheiro!,Du willst den guten Scheiß? Dann verdien dein Geld!,いいものが欲しいなら、金を稼げ！,Tu veux de la bonne came ? Fais-toi du fric !,chcesz tego gówna? dawaj kasę!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
thats gon look gud on u!,¡Eso te va a quedar bien!,Это будет тебе очень к лицу!,Isso vai ficar ótimo em você!,Das wird dir gut stehen!,それは君によく似合うよ！,Ça va bien t'aller !,to będzie na tobie wyglądać świetnie!
you lookin spiffy!,¡Te ves genial!,Ты выглядишь великолепно!,Você está com uma aparência impecável!,Du siehst toll aus!,すごく素敵だよ！,Tu as l'air super !,wyglądasz świetnie!
gud choice baby!,"¡Buena elección, cariño!","Отличный выбор, детка!","Boa escolha, meu bem!","Gute Wahl, Baby!",いい選択だよ、ベイビー！,"Bon choix, bébé !","dobry wybór, kochanie!"
ay you a snack!,¡Te ofrezco un refrigerio!,Приятного аппетита!,Te ofereço um lanche!,Hier ist ein Snack!,おやつをあげよう！,Je te donne un en-cas !,daj mi przekąskę!
"makes ya look skinnier, HA!","¡Te hace ver más delgada, JA!","Благодаря этому ты выглядишь стройнее, ха!","Faz você parecer mais magra, HA!","Lässt dich schlanker aussehen, HA!",痩せて見えるよ、ハッ！,"Ça te fait paraître plus mince, HA !","sprawia, że ​​wyglądasz szczuplej, HA!"
thanks for the funds baby!,"¡Gracias por los fondos, cariño!","Спасибо за деньги, детка!","Obrigada pela doação, meu bem!","Danke für die Spende, Baby!",資金提供ありがとう、ベイビー！,"Merci pour les fonds, bébé !","dzięki za pieniądze, kochanie!"
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
OOH you a big spenda now!,"¡Oh, ahora eres un gran derrochador!","Ого, ты теперь настоящий транжира!","Nossa, você está gastando muito agora!","Oh, du bist ja ein richtiger Großverdiener!",おお、君は今や大金持ちだ！,"Oh, tu dépenses beaucoup maintenant !","O, teraz jesteś strasznie rozrzutny!"
lookin drippy as hell baby!,"¡Te ves súper sexy, nena!","Выглядишь просто сногсшибательно, детка!","Você tá arrasando, gata!","Siehst verdammt geil aus, Baby!",めちゃくちゃイケてるよ、ベイビー！,"T'es super stylée, bébé !","wyglądasz cholernie mokro, kochanie!"
AYYY im stacked! haHA!,¡AYYY estoy buenísima! ¡jaJA!,"АААА, у меня шикарная фигура! ха-ха!","E aí, tô cheio de grana! haHA!","AYYY, ich bin vollgepackt! haHA!",ああ、俺はすごい体格だ！ハハ！,AYYY je suis super bien foutue ! haHA !,"AYYY, jestem naładowany! haHA!"
gettin luxurious up in this b*tch!,¡Poniéndonos lujosos en esta perra!,"Здесь, в этой сучке, царит роскошь!",Curtindo o luxo nessa parada!,Hier wird's richtig luxuriös!,この場所で贅沢な時間を過ごそう！,Je me la coule douce dans cette salope !,w tej suce jest luksusowo!
That was mah grannies!,¡Esa era mi abuela!,Это были бабушки!,Essa era a minha avó!,Das war meine Oma!,あれは私の祖母たちだった！,C'était ma grand-mère !,To były moje babcie!
Yeeaaaah fill up mah bitbag!,"¡Síííí, llena mi bolsa de bits!","Даааа, наполни мой мешокчик всякой всячиной!","Yeeaaaah, encha meu saco de bits!","Jaaaa, füll meine Muschi!",やったー、俺のビットバッグをいっぱいにしてくれ！,"Ouais, remplis mon sac à bits !","Yeeaaaah, napełnij mój woreczek!"
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
you like whatchu seen?,¿Te gustó lo que viste?,"Тебе понравилось то, что ты увидел?",Gostou do que viu?,"Gefällt dir, was du gesehen hast?",見たものが気に入った？,Tu as aimé ce que tu as vu ?,"Podoba ci się to, co widziałeś?"
dat one got some stank!,¡Ese apestaba!,От него ужасно воняло!,Aquele estava fedendo!,Das Ding stank aber!,あれはひどい臭いがした！,Celui-là puait vraiment !,ale śmierdziało!
how you doin baby?,"¿Cómo estás, nena?","Как дела, детка?","Como você está, meu bem?","Wie geht's dir, Baby?",元気かい、ベイビー？,"Comment vas-tu, bébé ?","Jak się masz, kochanie?"
you got a gud,tienes un buen,у тебя хороший,Você tem um bom,Du hast einen guten,いい,tu as un bon,masz chłopaka
bits to spend baby,piezas para gastar bebé,"мелочи, чтобы потратить, малыш",dinheiro para gastar com o bebê,Kleinigkeiten zum Ausgeben fürs Baby,赤ちゃんに使う小銭,quelques pièces à dépenser pour bébé,"bity do wydania, kochanie"
